10:23:05  | phuongaz | /togglep all
10:55:44  | Hoang2k4 | /topxu
10:56:09  | Hoang2k4 | /dungeon
10:56:13  | Hoang2k4 | /is
10:58:04  | dung137 | /setlcoin dung137 1000
10:58:14  | dung137 | /topxu
10:59:04  | dung137 | /tp dung137 Hoang2k4 
11:01:31  | dung137 | /lobby
11:02:12  | dung137 | /wp unlco
11:02:17  | dung137 | /wp unlock
11:02:29  | Hoang2k4 | /dungeon
11:02:54  | dung137 | /wp lock
11:03:26  | QuocThaiz | /gamemode 2
11:04:11  | QuocThaiz | /gamemode c
11:05:31  | dung137 | /wp unlock
11:05:48  | dung137 | /wp lock
11:05:58  | dung137 | /tp dung137 Hoang2k4 
11:06:02  | Hoang2k4 | /sell
11:06:06  | dung137 | /kick hoang
11:06:23  | dung137 | /lobby
11:07:45  | Hoang2k4 | /is
11:07:49  | dung137 | //id
11:07:53  | Hoang2k4 | /is
11:08:14  | dung137 | /wp banitem 277:0
11:08:24  | QuocThaiz | /vanish
11:08:26  | dung137 | //id
11:08:28  | QuocThaiz | /tp Ho
11:08:32  | Hoang2k4 | /hub
11:08:34  | dung137 | /wp banitem 277:0
14:00:37  | TBNRCreeper27 | /give@s diamond
14:02:16  | TBNRCreeper27 | /shop
14:05:46  | TBNRCreeper27 | /clan
14:07:27  | TBNRCreeper27 | /ec
14:07:33  | TBNRCreeper27 | /ec
14:07:54  | TBNRCreeper27 | /sell all
14:08:46  | TBNRCreeper27 | /hub
15:02:47  | idolbminh | /topxu
15:03:11  | idolbminh | /banlist
15:52:17  | Hoang2k4 | /dungeon
15:52:41  | Hoang2k4 | /autosell
15:52:50  | Hoang2k4 | /is
15:59:22  | Hoang2k4 | /sell
15:59:37  | Hoang2k4 | /topxu
16:04:58  | Hoang2k4 | /sell
16:07:10  | Hoang2k4 | /is
16:07:15  | Hoang2k4 | /is
16:07:20  | Hoang2k4 | /is
16:11:00  | Hoang2k4 | /sell
16:15:11  | Hoang2k4 | /is
16:15:38  | Hoang2k4 | /sell
16:19:21  | Hoang2k4 | /sell
16:20:02  | Hoang2k4 | /topxu
17:11:04  | StyleMC119 | /is crate
17:11:09  | StyleMC119 | /is create
20:03:39  | idolbminh | /unban funnygaming1704
20:04:03  | idolbminh | /vanish
20:04:16  | KaitoGamerX | /dungeon
20:04:48  | FunnyGaming1704 | /dungeon
20:04:53  | KaitoGamerX | /shop
20:05:13  | zVWeeboVz | /kill
20:05:14  | KaitoGamerX | /is
20:06:00  | KaitoGamerX | /sell all
20:06:33  | zVWeeboVz | /is tp funnygaming1704
20:06:41  | KaitoGamerX | /ec
20:06:53  | KaitoGamerX | /ec
20:06:59  | KaitoGamerX | /ec
20:07:00  | FunnyGaming1704 | /is
20:07:06  | KaitoGamerX | /ec
20:07:13  | KaitoGamerX | /ec
20:07:19  | KaitoGamerX | /ec
20:07:20  | idolbminh | /tp KaitoGamerX 
20:07:28  | KaitoGamerX | /ec
20:07:46  | idolbminh | /lobby
20:07:55  | idolbminh | /supervanish
20:08:01  | KaitoGamerX | /ce
20:08:12  | KaitoGamerX | /ce enchant Disarmor 100000
20:08:14  | idolbminh | /vanish
20:08:21  | idolbminh | /supervanish
20:08:28  | idolbminh | /tp KaitoGamerX 
20:13:34  | FunnyGaming1704 | /sell
20:19:12  | FunnyGaming1704 | /sell
20:19:25  | FunnyGaming1704 | /topxu
20:19:31  | Hoang2k4 | /dungeon
20:19:41  | FunnyGaming1704 | /kill
20:19:47  | Hoang2k4 | /topxu
20:19:53  | KaitoGamerX | /is
20:19:56  | Hoang2k4 | /shop
20:20:11  | Hoang2k4 | /shop
20:21:54  | KaitoGamerX | /toplcoin
20:22:14  | Hoang2k4 | /toplcoin
20:22:48  | FunnyGaming1704 | /toplcoin
20:23:05  | Hoang2k4 | /is
20:23:53  | Hoang2k4 | /is
20:23:59  | Hoang2k4 | /is
20:24:11  | Hoang2k4 | /hub
23:00:26  | idolbminh | /seemoney lyyydangyeu
12:10:08  | dung137 | /topbalance
12:10:20  | dung137 | /topbalance 
12:10:26  | dung137 | /top
12:10:37  | dung137 | /topmoney
12:10:44  | dung137 | /sell
12:11:38  | dung137 | /sell
12:11:50  | dung137 | /topxu
12:16:07  | dung137 | /gamemode 0
15:53:21  | idolbminh | /is
21:08:32  | VinhDeillGamer | /
21:08:39  | VinhDeillGamer | /is
21:11:21  | VinhDeillGamer | /shop
21:13:16  | VinhDeillGamer | /warp
21:13:20  | VinhDeillGamer | /warp
21:13:28  | VinhDeillGamer | /menu
21:18:26  | Hoang2k4 | /dungeon
21:18:36  | Hoang2k4 | /dungeon
21:18:41  | Hoang2k4 | /is
21:18:49  | Hoang2k4 | /topxu
13:28:23  | phuongaz | /setcoin phuongaz 40
13:31:36  | phuongaz | /setcoin phuongaz 300
13:34:08  | phuongaz | /clearinv
13:34:22  | phuongaz | /setcoin phuongaz 300
13:44:27  | phuongaz | /stats
13:44:50  | phuongaz | /setcoin phuongaz -
13:44:58  | phuongaz | /setcoin phuongaz 0
13:46:26  | phuongaz | /setcoin phuongaz 40
13:50:35  | phuongaz | /setcoin phuongaz 100
13:51:40  | phuongaz | /shoppet
13:52:17  | phuongaz | /give phuongaz 403
13:58:17  | phuongaz | /setcoin phuongaz 40
14:00:26  | phuongaz | /setcoin phuongaz 30
14:00:50  | phuongaz | /pet
14:01:11  | phuongaz | /pet
14:01:13  | phuongaz | /pet
14:01:20  | phuongaz | /pet
14:01:51  | phuongaz | /stop
14:05:45  | phuongaz | /togglep all
14:06:04  | phuongaz | /togglep all
14:06:09  | phuongaz | /togglep all
14:06:11  | phuongaz | /pet
14:06:20  | phuongaz | /pet
14:06:47  | idolbminh | /setlcoin idolbminh 10000
14:06:57  | phuongaz | /time set day
14:07:05  | idolbminh | /pet
14:07:21  | idolbminh | /pet
14:10:04  | phuongaz | /togglep all
14:10:07  | phuongaz | /pet
14:10:08  | idolbminh | /stats
14:10:58  | phuongaz | /pet
14:13:12  | phuongaz | /togglep all
14:13:23  | phuongaz | /pet
14:13:30  | phuongaz | /pet
14:13:50  | phuongaz | /togglep all
14:13:54  | phuongaz | /togglep all
14:14:06  | phuongaz | /pet delete canguru
14:14:24  | phuongaz | /removepet canguru
14:14:52  | phuongaz | /pet
14:14:58  | phuongaz | /pet
14:15:20  | phuongaz | /removepet ice_dragon
14:15:28  | phuongaz | /removepet Dragon_ice
14:15:39  | phuongaz | /pet
14:15:45  | phuongaz | /pet
14:15:59  | phuongaz | /pet
14:16:15  | phuongaz | /pet
14:16:38  | phuongaz | /pet
14:16:56  | phuongaz | /setcoin phuongaz 100
14:17:01  | phuongaz | /shoppet
01:31:29  | phuongaz | /togglep all
01:31:38  | phuongaz | /mw list
01:31:46  | phuongaz | /mw to newvid
01:31:51  | phuongaz | /mw tp newvid
01:32:01  | phuongaz | /gamemode 1
01:32:17  | phuongaz | /wp unlock
01:32:32  | phuongaz | /cbx create donate
01:36:01  | phuongaz | /gmc
01:36:18  | phuongaz | /togglep all
01:37:00  | phuongaz | /cbx create donate
01:37:19  | phuongaz | /cbx key phuongaz donate 10
02:49:59  | phuongaz | /togglep all
02:51:21  | phuongaz | /togglep all
02:51:35  | phuongaz | /cbx create donate
02:51:46  | phuongaz | /wp unlock
02:52:38  | phuongaz | /cbx create donate
02:53:05  | phuongaz | /save-all
02:53:09  | phuongaz | /wp lock
02:53:25  | phuongaz | /minion phuongaz
02:54:06  | idolbminh | /op
03:01:44  | phuongaz | /togglep all
03:02:28  | phuongaz | /deop phuongaz
03:12:33  | phuongaz | /togglep all
03:12:38  | phuongaz | /deop phuongaz
03:12:43  | phuongaz | /gms
03:13:54  | phuongaz | /togglep all
03:34:28  | phuongaz | /togglep all
05:54:39  | idolbminh | /minion
05:54:56  | idolbminh | /minion
05:59:10  | idolbminh | /stats
06:04:38  | idolbminh | /setlcoin idolbminh 10000
23:43:33  | idolbminh | /is delete
23:43:36  | idolbminh | /lobby
23:43:42  | idolbminh | /is delete idolbminh
23:55:20  | idolbminh | /give idolbminh 264
23:55:31  | idolbminh | /is delete idolbminh
23:58:52  | idolbminh | /pet
23:59:01  | idolbminh | /pet
00:53:14  | idolbminh | /pet
00:54:28  | idolbminh | /minion
01:10:51  | idolbminh | /minion
01:17:42  | idolbminh | /is delete
01:17:48  | idolbminh | /is delete idolbminh
01:21:25  | idolbminh | /give idolbminh diamond pickace
02:13:54  | idolbminh | /minion
02:22:31  | idolbminh | /is delete
02:22:42  | idolbminh | /is delete idolbminh
02:28:09  | phuongaz | /togglep all
02:28:22  | phuongaz | /pet
02:28:25  | phuongaz | /pet
02:28:27  | phuongaz | /pet
02:29:17  | phuongaz | /togglep all
02:29:24  | phuongaz | /pet
02:29:31  | phuongaz | /pet
02:29:46  | phuongaz | /hub
02:30:01  | phuongaz | /wp unlick
02:30:04  | phuongaz | /wp unlock
02:30:10  | phuongaz | /wp lock
02:30:39  | phuongaz | /ft spawn text {lcoin_top}
02:39:29  | phuongaz | /togglep all
02:43:26  | phuongaz | /stop
05:52:48  | idolbminh | /wings
21:46:58  | idolbminh | /lcoin
01:31:30  | idolbminh | /ah
06:16:04  | idolbminh | /feed
10:32:01  | idolbminh | /lobby
11:15:33  | idolbminh | /wp
11:16:56  | idolbminh | /gamemode 1
11:19:37  | TPGbaker | /pl
11:19:58  | idolbminh | /pocketmine:op TPGbaker
11:20:14  | idolbminh | /wings
11:20:37  | idolbminh | /wings
11:20:48  | TPGbaker | /wings
11:20:58  | idolbminh | /lcoinshop
11:21:19  | idolbminh | /tp TPGbaker idolbminh 
11:21:38  | idolbminh | /dungeon
11:21:44  | idolbminh | /mw tp test
11:21:50  | idolbminh | /tp TPGbaker idolbminh 
11:21:55  | idolbminh | /boss spawn-all
11:22:17  | idolbminh | /fly
11:23:09  | idolbminh | /tp TPGbaker idolbminh 
11:23:29  | idolbminh | /stats
11:23:42  | idolbminh | /is
11:24:15  | TPGbaker | /is
11:24:21  | idolbminh | /tp TPGbaker 
11:24:33  | idolbminh | /tp TPGbaker 
11:24:47  | idolbminh | /pet
11:25:24  | idolbminh | /pet
11:25:32  | idolbminh | /pet
11:25:33  | TPGbaker | /is invite idolminh
11:25:39  | TPGbaker | /is
11:26:01  | TPGbaker | /is
01:08:31  | idolbminh | /cbx create
01:08:37  | idolbminh | /cbx create
01:08:53  | idolbminh | /cbx
01:08:56  | idolbminh | /cbx
01:09:03  | idolbminh | /ssp
01:09:07  | idolbminh | /ssp
01:32:21  | idolbminh | /ssp
01:32:37  | idolbminh | /ssp
01:33:48  | idolbminh | /ssp additem 1 0 1
01:33:50  | idolbminh | /ssp
01:34:54  | idolbminh | /ssp
01:35:06  | idolbminh | /ssp removeitem 1 0 1
02:29:18  | phuongaz | /togglep all
02:32:53  | phuongaz | /togglep all
02:33:14  | phuongaz | /slapper spawn player §l§eＰｏｉｎｔ{line}§fĐiểm tích lũy
02:33:25  | phuongaz | /slapper remove
02:33:41  | idolbminh | /ssp 
02:35:29  | phuongaz | /togglep all
02:36:01  | phuongaz | /slapper spawn player §l§eＰｏｉｎｔ{line}§f§lĐiểm tích lũy
02:36:28  | idolbminh | /ssp
02:36:44  | phuongaz | /slapper edit 28 addcommand rca {player} point
02:37:09  | idolbminh | /ssp remove 1 0 1
02:37:35  | idolbminh | /ssp removeitem
02:37:49  | idolbminh | /ssp removeitem 1 0 1
02:39:41  | phuongaz | /togglep all
02:40:07  | phuongaz | /slapper spawn player §l§eＰｏｉｎｔ{line}§f§lĐiểm tích lũy
02:40:24  | phuongaz | /slapper edit 21 addcommand rca {player} point
02:41:44  | phuongaz | /customarmor killer helmet phuongaz
02:41:55  | phuongaz | /burgercustomarmor
02:42:24  | phuongaz | /customarmor Killer full phuongaz
02:48:53  | phuongaz | /gamemode 0
02:49:32  | phuongaz | /exp
02:49:48  | phuongaz | /togglep all
03:12:38  | phuongaz | /togglep all
03:13:32  | phuongaz | /togglep all
03:17:35  | phuongaz | /togglep all
03:33:52  | idolbminh | /gamemode 0
03:41:18  | idolbminh | /op dung137
03:41:26  | idolbminh | /pocketmine:op dung137
03:41:45  | idolbminh | /ss[
03:41:48  | idolbminh | /ssp
03:42:02  | dung137 | /ssp
03:42:06  | idolbminh | /ssp removeitem 1 0 1
03:43:18  | idolbminh | /mw list
03:43:26  | dung137 | /gamemode 1
03:43:31  | idolbminh | /mw tp pvp
03:45:01  | dung137 | /setlcoin
03:45:09  | idolbminh | /setlcoin idolbminh 1000
03:45:11  | dung137 | /setlcoin dung137 1000000
03:45:19  | dung137 | /topxu
03:45:32  | dung137 | /toplcoin
03:45:32  | idolbminh | /ssp
03:45:43  | dung137 | /lcoin
03:45:55  | idolbminh | /ssp
03:46:08  | dung137 | /lcoin
03:46:54  | dung137 | /lcoin
03:48:06  | idolbminh | /sell all
03:53:42  | idolbminh | //id
03:53:56  | idolbminh | /wp banitem 383
04:02:22  | idolbminh | /gamemode 1
04:02:31  | dung137 | /wp unlcok
04:02:35  | idolbminh | /id
04:02:36  | dung137 | /wp unlock
04:02:39  | idolbminh | //id
04:02:45  | idolbminh | /wp banitem 259
04:02:47  | dung137 | /wp lock
04:03:58  | idolbminh | //id
04:04:04  | idolbminh | /wp banitem 269
04:04:21  | dung137 | //id
04:04:27  | idolbminh | //id
04:04:35  | idolbminh | /wp banitem 256
04:04:40  | dung137 | /ban item 284:0
04:04:52  | idolbminh | //id
04:04:59  | dung137 | //id
04:05:01  | idolbminh | /wp banitem 277
04:05:07  | dung137 | /wp unlock
04:05:09  | idolbminh | /wp banitem 277
04:05:20  | dung137 | /wp unlock
04:05:59  | dung137 | /tp dung137 
04:06:03  | dung137 | /tp idolbminh dung137 
04:06:22  | idolbminh | /wp open
04:06:35  | idolbminh | /gamemode -
04:06:39  | idolbminh | /gamemode 0
04:06:58  | idolbminh | /wp unlock
04:09:06  | idolbminh | /gamemode 0 dun137
04:09:12  | idolbminh | /gamemode 0 dung137
04:09:27  | dung137 | /gamemode 0 idol
04:46:44  | idolbminh | /mw tp PvP
05:28:52  | idolbminh | /ah
05:29:03  | idolbminh | /ah
05:29:21  | idolbminh | /ah idolbminh
05:29:48  | idolbminh | /givemoney idolbminh 10000
05:29:56  | idolbminh | /ah
05:30:15  | idolbminh | /ah sell
05:30:17  | idolbminh | /ah
06:03:21  | idolbminh | /ah
06:04:32  | idolbminh | /ah
06:09:01  | idolbminh | /ah
06:09:18  | idolbminh | /ah sell
06:09:24  | idolbminh | /ah sell 10000
06:09:28  | idolbminh | /ah
06:10:04  | idolbminh | /ah
06:10:16  | idolbminh | /ah sell
06:10:22  | idolbminh | /ah sell 100000
06:10:28  | idolbminh | /ah 
06:13:08  | idolbminh | /ssp
06:13:22  | idolbminh | /ssp additem
06:13:29  | idolbminh | /ssp additem 1 0 1
06:13:33  | idolbminh | /ssp
06:20:48  | idolbminh | /ah
06:22:21  | idolbminh | /ah
06:47:04  | phuongaz | /fly
06:47:06  | idolbminh | /tp phuongaz 
06:47:13  | phuongaz | /gamemode 1
06:47:50  | phuongaz | /point
06:48:37  | phuongaz | /is ni create Normal
06:49:13  | idolbminh | /tp phuongaz 
06:49:50  | phuongaz | /is ni pos1
06:49:58  | phuongaz | /is ni Pos1
06:50:11  | phuongaz | /is ni Pos2
06:50:39  | phuongaz | /is ni makespawn
06:50:44  | phuongaz | /is ni set
06:51:07  | phuongaz | //id
06:51:16  | phuongaz | /fix
06:51:20  | phuongaz | /fix
06:54:02  | phuongaz | /fix
06:54:47  | phuongaz | /fix
06:55:45  | phuongaz | /fix
06:57:10  | phuongaz | /fix
07:02:07  | phuongaz | /fix
07:04:40  | phuongaz | /fix
07:04:52  | phuongaz | //id
07:05:02  | phuongaz | /give phuongaz 278:90
07:05:08  | phuongaz | /fix
07:16:24  | phuongaz | /slapper id
07:17:02  | phuongaz | /slapper edit 9 tphere
07:17:30  | phuongaz | /wp unlock
07:17:47  | phuongaz | /wp lock
07:17:55  | phuongaz | //wand
07:18:02  | phuongaz | //set 0
07:19:09  | phuongaz | /txt a
07:19:38  | phuongaz | /t add ssp
07:20:07  | phuongaz | //id
07:20:17  | phuongaz | //set 89
07:20:29  | phuongaz | //set 89
07:20:56  | phuongaz | /pvp
07:21:00  | phuongaz | /mw tp pvp1
07:39:30  | phuongaz | /wp lock
07:39:49  | phuongaz | //id
07:40:16  | phuongaz | /fix
10:03:10  | KsViperYT | /plugins
10:03:53  | KsViperYT | /plugins
10:04:11  | KsViperYT | /gamemode 1
10:04:21  | KsViperYT | /wp help
10:04:30  | KsViperYT | /wp unlock
10:04:39  | KsViperYT | /wp help 2
10:04:54  | KsViperYT | /wp help 3
10:05:02  | KsViperYT | /wp open
10:05:21  | KsViperYT | /setgroup ks Owner
10:05:41  | KsViperYT | /wp loc
10:05:44  | KsViperYT | /wp lock
10:05:50  | KsViperYT | /wp protect
11:02:10  | idolbminh | /plugins
22:08:12  | idolbminh | /ssp
22:53:15  | idolbminh | /whitelist on
22:57:09  | idolbminh | /ssp
22:59:53  | idolbminh | /ssp
23:03:59  | idolbminh | /minelevel
23:04:18  | idolbminh | /minelevel
23:07:33  | idolbminh | /ssp
23:07:38  | idolbminh | /minelevel
23:11:16  | idolbminh | /minelevel
23:12:34  | idolbminh | /minelevel
23:15:06  | idolbminh | /ssp
23:15:13  | idolbminh | /minelevel
23:21:03  | idolbminh | /gamemode 1
23:23:25  | idolbminh | /ssp
23:23:48  | idolbminh | /ssp additem
23:24:33  | idolbminh | /ssp additem
23:24:44  | idolbminh | /ssp additem 0 5 1
23:24:46  | idolbminh | /ssp
23:24:57  | idolbminh | /ssp remove 0 5 1
23:25:44  | idolbminh | /ssp removeitem 0 5 1
23:26:38  | idolbminh | /ssp additem 0 1 1
23:26:42  | idolbminh | /ssp
23:26:54  | idolbminh | /ssp removeitem 0 0 1
23:27:05  | idolbminh | /ssp removeitem 0 1 1
23:27:11  | idolbminh | /ssp additem 0 0 1
23:27:13  | idolbminh | /ssp
23:30:57  | idolbminh | /ssp additem 1 0 1
23:30:59  | idolbminh | /ssp
23:33:13  | idolbminh | /ssp additem 0 4 5
23:34:02  | idolbminh | /ssp
23:34:45  | idolbminh | /ssp additem 0 9 10
23:34:47  | idolbminh | /ssp
23:35:13  | idolbminh | /ssp additem 0 14 15
23:35:15  | idolbminh | /ssp
23:36:40  | idolbminh | /ssp
23:37:52  | idolbminh | /givemoney idolbminh 100000
23:38:53  | idolbminh | /ssp
23:39:17  | idolbminh | /ssp additem 0 18 20
23:39:19  | idolbminh | /ssp
23:42:06  | idolbminh | /ssp
23:42:57  | idolbminh | /ssp
23:45:59  | idolbminh | /point
23:46:11  | idolbminh | /lobby
23:47:06  | idolbminh | /ssp additem 0 23 25
23:48:21  | idolbminh | /ssp additem 0 28 30
23:48:23  | idolbminh | /ssp
23:49:53  | idolbminh | /ssp
23:50:30  | idolbminh | /ssp additem 0 33 35
23:52:03  | idolbminh | /setlcoin idolbminh 10000
23:52:52  | idolbminh | /ssp additem 0 38 40
23:52:54  | idolbminh | /ssp
23:53:35  | idolbminh | /save-all
23:53:40  | idolbminh | /stop
23:54:59  | idolbminh | /ssp
23:55:55  | idolbminh | /ssp
23:56:28  | idolbminh | /ssp removeitem 0 38 40
23:56:36  | phuongaz | /customarmor SS1 full
23:56:52  | phuongaz | /customarmor SS1 full phuongaz
23:57:17  | phuongaz | /enchant
23:57:27  | phuongaz | /setmoney phuongaz 120102120
23:58:21  | idolbminh | /ssp additem 0 38 40
23:58:23  | idolbminh | /ssp
23:59:13  | idolbminh | /gamemode 0
23:59:17  | phuongaz | /clearinv
23:59:34  | phuongaz | /customarmor SS1 full phuongaz
00:00:28  | idolbminh | /ssp
00:01:12  | idolbminh | /ssp additem 0 43 45
00:01:15  | idolbminh | /ssp
00:05:13  | idolbminh | /ssp
00:05:38  | idolbminh | /ssp additem 0 53 55
00:06:32  | idolbminh | /feed
00:06:43  | idolbminh | /ssp
00:08:47  | PTKDrake | /minelevel
00:08:51  | PTKDrake | /isle
00:10:59  | idolbminh | /feed ptkdrake
00:11:35  | phuongaz | //ID
00:11:38  | phuongaz | //id
00:11:41  | idolbminh | /ssp
00:11:56  | phuongaz | /give PTKDrake 366 400
00:12:16  | idolbminh | /ssp removeitem 0 53 55
00:12:20  | idolbminh | /ssp
00:12:45  | idolbminh | /ssp additem 0 48 50
00:12:47  | idolbminh | /ssp
00:15:11  | idolbminh | /ssp
00:16:31  | idolbminh | /ssp
00:16:51  | idolbminh | /ssp
00:19:36  | idolbminh | /gamemode 1
00:19:37  | idolbminh | /ssp
00:21:19  | idolbminh | /ssp
00:21:31  | idolbminh | /ssp additem 0 58 60
00:21:33  | idolbminh | /ssp
00:22:54  | idolbminh | /ssp additem 0 53 55
00:22:57  | idolbminh | /ssp
00:24:03  | idolbminh | /ssp additem 0 68 70
00:25:17  | idolbminh | /is
00:25:47  | idolbminh | /is delete idolbminh
00:25:50  | idolbminh | /is
00:26:36  | idolbminh | /lobby
00:26:38  | idolbminh | /ssp
00:27:46  | idolbminh | /gamemode 0
00:28:09  | idolbminh | /ssp additem 0 78 80
00:28:11  | idolbminh | /ssp
00:29:58  | idolbminh | /ssp removeitem 1 0 1
00:32:17  | idolbminh | /ssp add item 1 0 1
00:32:21  | idolbminh | /ssp
00:32:27  | idolbminh | /ssp additem 1 0 1
00:34:33  | idolbminh | /ssp additem 1 4 5
00:35:21  | idolbminh | /ssp additem 1 9 10
00:36:19  | idolbminh | /ssp additem 1 14 15
00:36:42  | idolbminh | /ssp
00:37:50  | idolbminh | /ssp additem 1 19 20
00:39:53  | idolbminh | /ssp
00:41:17  | idolbminh | /ssp additem 1 24 25
00:41:28  | idolbminh | /ssp additem 1 29 30
00:41:54  | idolbminh | /gamemode 1
00:42:29  | idolbminh | /id
00:42:31  | idolbminh | //id
00:42:37  | idolbminh | /give idolbminh 246
00:42:51  | idolbminh | /give idolbminh 264
00:43:18  | idolbminh | /give idolbminh 246
00:44:00  | idolbminh | /ssp additem 1 34 35
00:44:02  | idolbminh | /ssp
00:45:45  | idolbminh | /ssp
00:48:16  | idolbminh | /ssp additem 1 39 40
00:48:46  | idolbminh | /ssp additem 1 49 50
00:49:04  | idolbminh | /ssp additem 1 59 60
00:49:17  | idolbminh | /ssp additem 1 69 70
00:49:29  | idolbminh | /ssp additem 1 79 80
00:49:39  | idolbminh | /ssp
00:50:58  | idolbminh | /ssp remove 0 18 20
00:51:05  | idolbminh | /ssp removeitem 0 18 20
00:51:25  | idolbminh | /ssp
00:51:49  | idolbminh | /ssp additem 0 18 20
00:53:52  | idolbminh | /ssp
00:57:55  | dung137 | /minelevel
01:01:22  | dung137 | /minelevel
01:05:28  | dung137 | /lobby
01:13:39  | dung137 | /lobby
01:13:53  | dung137 | /minelevel
01:15:28  | dung137 | /gamemode 1
01:18:04  | dung137 | /lobby
01:20:56  | dung137 | /time set day 
01:22:48  | dung137 | /wp unlock
01:23:20  | dung137 | /wp lock
01:25:19  | dung137 | /setlcoin funnygaming 999
01:44:58  | phuongaz | /give phuongaz glowingbsiontion
01:45:08  | phuongaz | /is delete phuongaz
01:49:22  | phuongaz | /is delete phuongaz
02:28:36  | phuongaz | /is delete phuongaz
02:30:06  | phuongaz | /hub
02:30:18  | phuongaz | /hub
02:31:51  | phuongaz | //wand
02:31:56  | phuongaz | //set 0
02:32:05  | phuongaz | //set 0
02:32:08  | phuongaz | /stop
02:33:07  | phuongaz | //set 0
02:33:16  | phuongaz | //set 0
02:33:25  | phuongaz | //id
02:33:35  | phuongaz | /wp banitem 246
02:34:39  | phuongaz | /stop
02:35:51  | phuongaz | //set 0
02:36:53  | phuongaz | /stop
02:49:34  | phuongaz | /pvp
02:49:40  | phuongaz | /mw tp world
02:49:48  | phuongaz | /mw tp world
02:50:00  | phuongaz | /tp ~ ~+100 ~
02:52:01  | phuongaz | //id
02:52:08  | phuongaz | //set 236:13
02:52:54  | phuongaz | /setworldspawn
02:52:59  | phuongaz | /setspawn
03:02:54  | phuongaz | /pvp
03:02:57  | phuongaz | /pvp
03:03:01  | phuongaz | /mw tp world
03:03:11  | phuongaz | /area pos1
03:03:34  | phuongaz | /area pos2
03:04:05  | phuongaz | /area create pvp
03:04:15  | phuongaz | /area flag pvp god off
03:05:13  | phuongaz | /wp lock
03:05:27  | phuongaz | /setmoney phuongaz 0
03:05:34  | phuongaz | /topmoney
03:05:58  | phuongaz | /save-all
03:06:00  | phuongaz | /hub
03:06:08  | phuongaz | /text
03:07:52  | phuongaz | /ah
03:33:08  | phuongaz | /gamemode 0
03:33:38  | dung137 | /gamemode 1
03:33:44  | dung137 | /gamemode 0
03:34:04  | phuongaz | /tp dung
